年月日,最高気温(℃),最低気温(℃),平均気温(℃),平均雲量(10分比),天気概況(昼：06時〜18時),晴 or 雨
2017/1/1,14.4,0,6.9,0,快晴,1
2017/1/2,13.3,0.8,5.9,3.3,曇後晴,1
2017/1/3,13.3,0.4,7,0.7,晴,1
2017/1/4,14.4,-1,6,0.7,快晴,1
2017/1/5,9.3,2.6,5.4,2,晴,1
2017/1/6,10.3,-0.5,4,6,晴時々薄曇,1
2017/1/7,9.4,-3.3,2.8,2,晴,1
2017/1/8,6.6,-1.7,2.4,10,曇後時々雨,0
2017/1/9,13.5,2.4,7.5,4.7,雨後晴,0
2017/1/10,13.1,5.1,8.1,0,快晴,1
2017/1/11,11.4,0.9,5.6,1,晴,1
2017/1/12,12,-2.2,4.4,0.3,晴,1
2017/1/13,11.4,-2,3.5,3.3,晴,1
2017/1/14,6.9,-2.3,1,8,曇時々晴一時雪,0
2017/1/15,4,-3.4,-0.5,5.3,曇時々雪後晴,0
2017/1/16,7.2,-5.3,1.3,2,晴,1
2017/1/17,10.7,0.6,4.8,3.7,晴,1
2017/1/18,9.6,-1.1,4,6.3,晴後曇,1
2017/1/19,11.1,-0.3,5,3.3,晴,1
2017/1/20,3.4,-1.1,1.5,10,曇後一時雪,0
2017/1/21,9.5,-0.7,4.1,0.7,晴,1
2017/1/22,11.4,-2,4.2,0.7,快晴,1
2017/1/23,7.6,-0.8,2.8,1,晴,1
2017/1/24,7.5,-2.4,1.2,1.7,晴,1
2017/1/25,9,-3.1,2.6,0,快晴,1
2017/1/26,11.5,-0.7,4.3,0,快晴,1
2017/1/27,13.6,-0.7,5.8,5,曇後晴,1
2017/1/28,13.7,3.7,7.7,3.7,晴,1
2017/1/29,11.7,3.1,6.9,8.7,曇後晴,1
2017/1/30,19,3.1,8.9,0.7,晴,1
2017/1/31,9.4,0.7,4.4,0,快晴,1
2017/2/1,10,-2.2,3.8,7.3,晴,1
2017/2/2,8.5,0,3.9,0.3,快晴,1
2017/2/3,11.6,1.5,6.7,0,快晴,1
2017/2/4,14.3,2.9,7.5,0,快晴,1
2017/2/5,9.2,0.4,4.9,10,曇一時晴,1
2017/2/6,13.4,1.3,7,2.7,晴一時曇,1
2017/2/7,9.2,0.7,4.3,3.3,晴後一時薄曇,1
2017/2/8,10.4,-0.9,4.7,4.3,晴後一時薄曇,1
2017/2/9,3.9,1.2,2.3,10,曇後雨一時みぞれ,0
2017/2/10,8.5,0.6,3.6,6.3,晴時々曇,1
2017/2/11,9.7,-2.3,3.2,2.3,晴,1
2017/2/12,10.2,1,4.6,0.3,快晴,1
2017/2/13,11.8,1.7,5.5,3.3,快晴,1
2017/2/14,11.4,0.8,4.8,4.3,晴,1
2017/2/15,12.5,1.3,5.8,0,快晴,1
2017/2/16,14,-1.8,6.2,3,快晴,1
2017/2/17,21,0.7,10.1,1.7,晴一時曇,1
2017/2/18,11.1,2,7.2,8.7,曇後晴,1
2017/2/19,10.6,0.8,5.2,0.7,晴,1
2017/2/20,15.7,1,7.6,4.3,晴後一時雨,0
2017/2/21,8.2,2.1,4.6,1,晴,1
2017/2/22,10.5,-0.3,5.5,10,薄曇一時晴,1
2017/2/23,17.9,3.9,9.4,7.7,曇後晴,1
2017/2/24,10.1,3.2,6.1,6.3,晴,1
2017/2/25,12.5,-1.5,6.3,5.3,晴,1
2017/2/26,14.5,1.4,8.4,5.3,晴後一時薄曇,1
2017/2/27,11.6,3.2,6.6,5,晴,1
2017/2/28,10.8,2.6,5.7,5.3,晴一時曇,1
2017/3/1,10.5,1.3,5.8,10,曇,1
2017/3/2,10,4.6,7,10,曇時々雨,0
2017/3/3,14,4.2,8.3,1,晴,1
2017/3/4,15.2,-0.3,7.8,3.3,晴,1
2017/3/5,16.3,1.6,9.1,6.7,晴後薄曇,1
2017/3/6,11.1,5.2,8.7,6.7,曇,1
2017/3/7,9.4,1.4,5.6,3.7,曇時々雨一時晴,0
2017/3/8,12,-2,5.2,3,晴,1
2017/3/9,14.3,-0.1,7.2,1.7,晴,1
2017/3/10,13.7,2,7.3,1,晴一時雨,0
2017/3/11,13.5,3,7.2,0.3,快晴,1
2017/3/12,12.6,-0.2,6.5,7.7,薄曇後一時晴,1
2017/3/13,10.4,5.8,7.9,10,曇,1
2017/3/14,12,5.9,8,10,雨時々曇,0
2017/3/15,7,4,5.5,10,曇,1
2017/3/16,14.7,0.7,7.8,0.7,快晴,1
2017/3/17,14.9,2,8.3,2,晴,1
2017/3/18,15.6,2.3,9.5,7.3,晴後薄曇,1
2017/3/19,17.4,3.4,10.8,0,晴,1
2017/3/20,18.9,5.8,12.3,6.3,晴後薄曇,1
2017/3/21,10,6.9,8.5,10,雨,0
2017/3/22,14,4.5,8.5,1,晴,1
2017/3/23,15.2,2,8.3,9,薄曇後一時晴,1
2017/3/24,12.5,3.4,7.3,3.7,晴,1
2017/3/25,13.4,2.6,7.8,8.7,晴後薄曇,1
2017/3/26,7.1,3.7,5.3,10,雨,0
2017/3/27,10.5,3.4,5.9,6.7,雨後曇一時晴,0
2017/3/28,14.5,3.6,8.6,5.7,晴時々曇,1
2017/3/29,15.1,2.4,8.9,4,晴時々薄曇,1
2017/3/30,18.5,4.5,11.4,1,晴,1
2017/3/31,12,5.2,8.7,10,曇後時々雨,0
2017/4/1,8.6,4.3,6.3,10,雨後一時曇,0
2017/4/2,14.2,2.6,8.6,7.3,晴一時曇,1
2017/4/3,16.6,4.5,9.2,2.3,晴後一時雨、雷を伴う,0
2017/4/4,18.2,4.9,11.2,0.7,晴,1
2017/4/5,21.9,5.8,13.6,10,薄曇,1
2017/4/6,23.2,8.2,15.5,7.7,晴後薄曇,1
2017/4/7,24.4,13.7,17.9,7,曇一時雨後晴,0
2017/4/8,15.9,13.3,14.9,10,雨後曇,0
2017/4/9,17.8,9.5,14.3,7.7,曇時々雨,0
2017/4/10,16.6,5.3,10.7,9.3,薄曇,1
2017/4/11,9.6,5.1,7.1,10,大雨,0
2017/4/12,19.7,8.6,14,9.7,薄曇一時晴,1
2017/4/13,18.6,4.7,11.6,1,晴,1
2017/4/14,23.4,5.6,14.2,1.7,晴,1
2017/4/15,24.7,9.4,16.8,5.3,晴後一時曇,1
2017/4/16,28,9.1,19.4,4.3,晴時々薄曇,1
2017/4/17,26.4,14.8,18.3,10,曇後一時雨,0
2017/4/18,28.1,14.3,19.1,5.3,晴時々曇一時雨,0
2017/4/19,24.6,10.7,15.9,3,晴,1
2017/4/20,22.4,10.8,15.9,7.7,晴後薄曇,1
2017/4/21,19.4,12.3,15.4,10,曇後一時晴,1
2017/4/22,20.5,10.3,15,10,曇,1
2017/4/23,21.2,8.4,14.2,3.3,快晴,1
2017/4/24,20.7,9.3,14.7,4,曇後晴,1
2017/4/25,22.9,10.9,15.9,7.3,晴時々薄曇,1
2017/4/26,19.5,11.3,15.4,10,曇,1
2017/4/27,20.9,10.9,15.9,10,薄曇,1
2017/4/28,22.4,8.8,14.8,3.7,晴,1
2017/4/29,24.1,9,15.1,2.3,晴後一時雨、雷を伴う,0
2017/4/30,27.1,8.4,17.5,0,快晴,1
2017/5/1,23.3,11,15.9,7.3,曇時々晴一時雨,0
2017/5/2,24.3,10.2,17,0,快晴,1
2017/5/3,25,9.7,16.9,10,曇一時晴,1
2017/5/4,25,12.4,18.4,6.3,薄曇後晴,1
2017/5/5,27.7,12.9,20.1,2.3,晴一時薄曇,1
2017/5/6,27.4,13.7,20.9,9.3,曇時々晴,1
2017/5/7,27,14,20.7,6.7,曇一時晴,1
2017/5/8,30.9,11.2,20.9,3.7,快晴,1
2017/5/9,23.4,14.5,19.2,10,薄曇,1
2017/5/10,17.6,14.7,15.8,10,雨後曇,0
2017/5/11,28.7,13.5,21.3,6.3,晴,1
2017/5/12,29.1,15,21.7,10,薄曇一時晴,1
2017/5/13,19.6,15.4,17,10,雨,0
2017/5/14,22.3,14.8,18.3,10,曇後一時晴,1
2017/5/15,19,15.2,16.9,10,曇,1
2017/5/16,23.4,15,19.1,9.7,曇一時晴,1
2017/5/17,19.4,14.3,16.6,10,曇一時雨,0
2017/5/18,24.3,15.3,18.6,6.3,曇後晴,1
2017/5/19,28.6,13.3,20.6,0.3,快晴,1
2017/5/20,31.7,15,23.4,0,快晴,1
2017/5/21,34,17.3,25.4,6,晴後一時薄曇,1
2017/5/22,33.2,17.9,24.9,4.7,薄曇後晴,1
2017/5/23,30.5,17.7,23.3,4.7,晴後一時薄曇,1
2017/5/24,26.3,18,22.1,10,曇,1
2017/5/25,22.6,18,19.8,10,雨後曇,0
2017/5/26,18.3,16.7,17.5,10,雨,0
2017/5/27,22,17,18.5,10,曇一時雨,0
2017/5/28,27.1,17,21.6,5,晴一時曇,1
2017/5/29,29.8,15.9,22.1,2,晴,1
2017/5/30,32.3,16.7,24.5,9.7,晴時々薄曇,1
2017/5/31,30.2,19.6,24.2,10,薄曇,1
2017/6/1,28.9,20.2,23,10,曇後一時雨,0
2017/6/2,28.3,16.1,21.5,2,晴,1
2017/6/3,27.6,14.1,20.5,5,晴,1
2017/6/4,25.7,14.9,20.1,4.3,晴,1
2017/6/5,26.7,13.7,20,6.7,晴後一時曇,1
2017/6/6,25.9,16.8,20.2,10,薄曇時々晴,1
2017/6/7,23.8,17.5,20.3,10,曇後一時雨,0
2017/6/8,26,17.5,21.6,10,曇一時雨,0
2017/6/9,29.5,18.3,23.5,9.3,晴時々曇,1
2017/6/10,30.8,17.5,23.3,10,曇後一時晴,1
2017/6/11,28.2,15.8,21.3,7.7,晴時々曇,1
2017/6/12,26.6,15.1,20.5,6.3,晴後一時曇,1
2017/6/13,17.9,15.4,16.7,10,雨時々曇,0
2017/6/14,27,15.9,20.5,7,晴時々曇,1
2017/6/15,28.3,18,22.2,9,曇後晴,1
2017/6/16,30.9,19.1,23.2,6.3,晴後一時雨、雷を伴う,0
2017/6/17,29.2,16,22,6.7,晴後一時薄曇,1
2017/6/18,24.2,18.3,21,10,曇,1
2017/6/19,32.8,18.1,24.1,8,薄曇時々晴,1
2017/6/20,31.4,15.3,23.6,10,晴後薄曇,1
2017/6/21,23.6,19.7,21.3,9.7,雨時々曇,0
2017/6/22,29.7,19.6,24.3,10,薄曇,1
2017/6/23,32.2,18.7,25.2,6.3,晴後一時薄曇,1
2017/6/24,30.9,21.1,25.3,10,曇一時晴,1
2017/6/25,27.8,20.5,23.8,10,曇一時雨,0
2017/6/26,29.7,22.3,25.1,10,曇,1
2017/6/27,27,21.3,23.9,10,曇,1
2017/6/28,25.9,20.5,22.8,10,雨後曇,0
2017/6/29,31.3,21,25.5,10,曇,1
2017/6/30,26.7,22.4,24.4,10,雨後曇,0
2017/7/1,24.3,20.9,22.5,9.7,雨時々曇,0
2017/7/2,32.8,21.1,27.5,10,曇,1
2017/7/3,32.8,24.4,28.5,10,曇,1
2017/7/4,28.2,22.7,26,10,雨一時曇,0
2017/7/5,34.2,21.8,27.3,9.3,晴後曇,1
2017/7/6,32.6,21.9,26.3,7,晴時々曇,1
2017/7/7,33.8,22.8,27.9,3.3,晴,1
2017/7/8,35.6,23,29,1,晴,1
2017/7/9,35.8,23.5,29.4,3,晴,1
2017/7/10,36.2,24.2,28.9,3.3,晴一時曇,1
2017/7/11,34.9,25.4,29.1,5.3,晴一時曇,1
2017/7/12,35.9,25.1,28.7,8,晴後曇一時雨、雷を伴う,0
2017/7/13,34,25.9,29.1,7.7,曇後一時晴,1
2017/7/14,35.3,25.5,28.5,5.3,曇時々晴一時雨,0
2017/7/15,35.6,25,29.7,9,晴後曇,1
2017/7/16,34.7,24.7,28.9,10,薄曇後一時雨,0
2017/7/17,36.1,25.9,30.1,9,薄曇後時々晴,1
2017/7/18,31.8,23.9,27.1,5.3,晴時々曇一時雨、雷を伴う,0
2017/7/19,33.3,21.9,27,5,晴,1
2017/7/20,34.6,23.9,28.5,3,晴一時曇,1
2017/7/21,36.2,25.9,29.9,3.7,晴,1
2017/7/22,36.1,25.6,29.8,9.7,晴時々薄曇,1
2017/7/23,29.2,26.1,27.2,10,雨時々曇,0
2017/7/24,31.8,25,28.5,10,曇,1
2017/7/25,32.9,25.9,28.1,10,曇後時々雨,0
2017/7/26,26.4,22.8,24.9,10,雨後曇,0
2017/7/27,27.7,23,25.1,10,曇,1
2017/7/28,31.9,24,27.6,10,曇,1
2017/7/29,29.8,22.8,25.5,10,曇後時々雨,0
2017/7/30,29,23,25.4,10,曇時々雨,0
2017/7/31,34.3,24.4,28.7,6,晴時々曇,1
2017/8/1,29.8,22.7,26.1,10,雨時々曇、雷を伴う,0
2017/8/2,25.5,21,22.9,10,曇一時雨,0
2017/8/3,28.6,21.4,24.7,10,曇,1
2017/8/4,28.2,22.8,25.6,10,曇後一時雨,0
2017/8/5,32.9,24.1,28.1,9.3,曇時々晴,1
2017/8/6,33.8,25.9,28.7,10,曇時々晴一時雨、雷を伴う,0
2017/8/7,34.9,26.1,29.1,9,曇時々晴,1
2017/8/8,32,26,28.7,9,曇時々雨,0
2017/8/9,37.8,25.4,30.5,6.3,晴,1
2017/8/10,28.4,21.9,25.1,10,曇一時雨,0
2017/8/11,25.7,21.2,23,10,曇,1
2017/8/12,30.2,21.1,25.2,8.7,晴時々曇,1
2017/8/13,31.8,24.1,27.1,9.3,曇後晴,1
2017/8/14,26.7,22.8,24.5,10,曇時々雨,0
2017/8/15,23.1,22.1,22.5,10,雨,0
2017/8/16,23,20.7,21.5,10,雨後一時曇,0
2017/8/17,29.4,20.9,24.8,10,曇,1
2017/8/18,27.8,23.3,25.1,10,曇時々雨,0
2017/8/19,32.3,22.4,25.6,9.7,曇時々雨、雷を伴う,0
2017/8/20,29,22.3,25.2,10,曇,1
2017/8/21,31.2,23.4,26.3,10,曇,1
2017/8/22,32.6,24.5,27.9,10,薄曇,1
2017/8/23,34.7,24.2,29.1,8.7,曇時々晴,1
2017/8/24,36.4,24.7,29.8,5.7,曇時々晴,1
2017/8/25,32,24.9,28.8,10,曇後時々雨,0
2017/8/26,34.5,25.4,28.5,9.3,曇時々晴一時雨,0
2017/8/27,31.1,22.4,26.4,8.7,曇時々晴,1
2017/8/28,31.1,20.8,26,9,曇時々晴,1
2017/8/29,33.5,24.5,28.8,10,薄曇後一時晴,1
2017/8/30,32,22.6,26.8,9.7,曇時々雨一時晴,0
2017/8/31,25.1,20,22.8,10,曇,1
2017/9/1,29.4,18.6,22.6,7.3,晴後時々曇,1
2017/9/2,25.7,16,20.2,5,晴時々曇一時雨,0
2017/9/3,30.4,16.3,23.6,4.3,晴後一時曇,1
2017/9/4,24.5,19.2,21.7,10,曇,1
2017/9/5,29.1,20.2,23.9,9.3,薄曇時々晴,1
2017/9/6,22.8,21.1,21.7,10,雨時々曇,0
2017/9/7,25.1,20.3,22.2,10,雨時々曇,0
2017/9/8,31.4,21,24.7,3.3,晴一時曇,1
2017/9/9,30.6,18.8,24.3,3.3,晴後一時薄曇,1
2017/9/10,31.9,20.5,25.5,1,晴一時薄曇,1
2017/9/11,30.6,22.1,25.5,10,曇,1
2017/9/12,28.4,22.3,24.6,9,雨後曇一時晴,0
2017/9/13,32.6,20,26.2,5.7,晴後一時曇,1
2017/9/14,32.4,20.8,25.8,6,晴,1
2017/9/15,29,19.7,23.9,8.7,晴後薄曇,1
2017/9/16,21.8,17.8,19.9,10,曇後一時雨,0
2017/9/17,19.6,17.3,18.6,10,雨,0
2017/9/18,33.3,19.6,27,4.3,晴,1
2017/9/19,29.2,19.5,24.2,8.7,晴時々曇,1
2017/9/20,24.8,20.3,22.2,10,曇,1
2017/9/21,29.6,19,23.9,6.7,晴,1
2017/9/22,24.3,17.7,20.7,10,曇時々雨,0
2017/9/23,24.5,18.1,20.7,10,曇一時雨,0
2017/9/24,28.5,18.2,22.7,6.7,晴一時薄曇,1
2017/9/25,28.7,19.6,23.7,9.3,曇時々晴,1
2017/9/26,28.9,18.8,23.5,4.7,晴一時曇,1
2017/9/27,27.6,20.3,23.3,10,曇,1
2017/9/28,26.7,16,20.2,10,曇時々雨,0
2017/9/29,25.8,13.9,19.6,1,快晴,1
2017/9/30,25.3,15.8,19.6,4,薄曇後晴,1
2017/10/1,26,13.6,19.9,6.7,晴後曇,1
2017/10/2,24.3,18.1,20.6,10,曇後一時雨,0
2017/10/3,28.7,18.8,22.7,7.7,晴時々曇,1
2017/10/4,23.6,14.3,18.7,7,曇後晴,1
2017/10/5,21,11.6,15.8,9.7,薄曇,1
2017/10/6,18.3,13.1,14.9,10,曇後雨,0
2017/10/7,24.5,14.6,18.9,6.7,雨時々曇後晴,0
2017/10/8,27.3,16.5,20.9,7.7,晴後一時薄曇,1
2017/10/9,27,17.8,22.1,7,晴時々薄曇,1
2017/10/10,29.8,18.1,23.7,0.3,晴,1
2017/10/11,24.5,18.9,21.3,9.3,曇一時晴,1
2017/10/12,28.5,18.1,22.3,9.7,曇時々晴,1
2017/10/13,18.3,14.2,14.9,10,雨,0
2017/10/14,16.7,14.4,15.5,10,曇,1
2017/10/15,16.2,13.9,15,10,雨一時曇,0
2017/10/16,14.1,11.6,12.6,10,雨,0
2017/10/17,16.7,11.7,13.4,9.3,雨後曇,0
2017/10/18,19.2,8.8,14,6.7,晴後曇,1
2017/10/19,12.4,10,11.1,10,雨,0
2017/10/20,17,11.2,14.2,10,雨,0
2017/10/21,17.4,15.6,16.5,10,雨,0
2017/10/22,18.2,16.5,17.2,10,大雨,0
2017/10/23,22.1,13.8,17.3,7.3,晴時々曇一時雨,0
2017/10/24,16.7,11.8,13.9,10,曇,1
2017/10/25,16.6,10.2,12.9,7,雨時々曇,0
2017/10/26,21.3,7.6,13.8,1,快晴,1
2017/10/27,20.7,7.8,13.8,3.7,快晴,1
2017/10/28,15.7,11.9,13.6,10,曇後雨,0
2017/10/29,17.9,13.1,14.7,10,大雨,0
2017/10/30,19,8.9,14.1,1.3,快晴,1
2017/10/31,19.5,7.7,12.8,0.7,快晴,1
2017/11/1,17.5,6.4,11.5,4.3,晴時々曇,1
2017/11/2,21.2,7,13.7,8.3,薄曇時々晴,1
2017/11/3,23.1,11.2,16.4,3.7,晴,1
2017/11/4,22.3,11.1,15.3,6,曇時々晴一時雨,0
2017/11/5,18.1,8.2,12.4,0,快晴,1
2017/11/6,18.8,4.9,11.5,0,快晴,1
2017/11/7,20.8,6.3,13.4,4,晴,1
2017/11/8,15.3,10.4,12.7,7.3,曇,1
2017/11/9,17.5,9.6,13.9,0,快晴,1
2017/11/10,16.6,4.2,10.4,2.3,晴後一時曇,1
2017/11/11,20.2,5.9,12.3,3,晴一時曇,1
2017/11/12,16.8,6.9,11.2,2.3,快晴,1
2017/11/13,15.9,4.5,10.1,6.3,晴後薄曇,1
2017/11/14,14.7,8,10.7,7.3,曇後雨,0
2017/11/15,17.1,7.2,11.7,8,曇後晴,1
2017/11/16,16,4.6,10.1,1.7,晴,1
2017/11/17,13.5,1.1,7.4,4.3,晴,1
2017/11/18,11.4,6.1,8.2,6.7,曇,1
2017/11/19,14.2,3.9,8.3,2.3,晴後一時曇,1
2017/11/20,9,1.2,4.5,6.7,曇,1
2017/11/21,11.9,1.7,6.8,0.3,快晴,1
2017/11/22,9.9,0.5,6,7.7,晴後曇一時雨,0
2017/11/23,16.4,6.6,9.6,3.7,雨一時曇後晴,0
2017/11/24,15,2.4,7.8,2,晴,1
2017/11/25,15.6,0.6,7.4,6,晴後一時曇,1
2017/11/26,16.8,2,8.8,8.7,晴後一時薄曇,1
2017/11/27,14.7,4.2,9.9,6.3,晴後曇,1
2017/11/28,13.8,7.3,10.9,7.7,曇,1
2017/11/29,18.4,3.6,11.6,3.3,晴,1
2017/11/30,14,6.8,10.5,10,曇後雨,0
2017/12/1,10.8,5.5,7.9,9.3,曇一時晴,1
2017/12/2,11.5,2.2,6.3,5.3,晴,1
2017/12/3,13.2,1.4,6.6,0,快晴,1
2017/12/4,11.7,0.7,7.2,6.7,晴後曇一時雨,0
2017/12/5,15.8,2.1,8.6,1,晴,1
2017/12/6,11.9,0.1,5.9,1,快晴,1
2017/12/7,11.7,-0.5,5.3,2,晴,1
2017/12/8,10.5,0.3,5,10,曇時々雨一時晴,0
2017/12/9,10.5,0.7,5.1,0,快晴,1
2017/12/10,11.5,-0.8,4.8,4.3,晴後一時薄曇,1
2017/12/11,17.1,-0.5,7.7,0,快晴,1
2017/12/12,10.5,1.7,6.2,0.7,快晴,1
2017/12/13,11.8,0.1,4.5,3,晴後一時曇,1
2017/12/14,9.9,-0.5,4.6,1.3,快晴,1
2017/12/15,10.5,-0.2,4.5,9,晴時々曇,1
2017/12/16,13.5,-0.3,5.6,5.7,晴,1
2017/12/17,9,0.1,4.9,1,晴,1
2017/12/18,8.1,-3.4,2.2,0,快晴,1
2017/12/19,14,-2.9,4.6,1.3,晴,1
2017/12/20,9.8,-0.4,4.1,0,快晴,1
2017/12/21,10.8,-2.2,3.8,0,快晴,1
2017/12/22,12,-2.1,4.5,0,快晴,1
2017/12/23,15.4,-1.6,6.6,3,晴後一時薄曇,1
2017/12/24,10.8,-0.4,5.4,9.7,曇,1
2017/12/25,14.5,4.3,8.3,0.7,晴,1
