年月日,最高気温(℃),最低気温(℃),平均気温(℃),平均雲量(10分比),天気概況(昼：06時〜18時),晴 or 雨
2018/12/20,15.5,3.4,7.7,3.7,晴,1
2018/12/21,13.6,-0.1,6.6,4,晴,1
2018/12/22,13.2,4,8.9,7.7,曇一時晴,1
2018/12/23,12.8,6.7,9.8,6.7,曇,1
2018/12/24,10.8,3.7,7.6,0.3,快晴,1
2018/12/25,9.5,-2.5,3.8,3.7,晴後薄曇,1
2018/12/26,12.2,-1.1,5.4,9.7,曇時々晴,1
2018/12/27,15.2,3.7,8.6,3.7,晴一時薄曇,1
2018/12/28,7.5,-2.5,2.9,1.3,晴,1
2018/12/29,9.5,-2.1,2.8,1,晴,1
2018/12/30,9.5,-3.7,2.2,0.3,晴,1
2018/12/31,9.7,-1.6,3.7,2,晴,1
2019/1/1,11.8,0.2,5,1.3,晴,1
2019/1/2,11.2,1.3,5.4,0,快晴,1
2019/1/3,10.3,-1.4,4.4,0.3,晴,1
2019/1/4,11.7,-1,5,0.3,快晴,1
2019/1/5,16.2,-1.4,6.5,0,快晴,1
2019/1/6,8.3,1.7,4.8,10,曇時々晴,1
2019/1/7,11,-0.4,4.5,1,快晴,1
2019/1/8,10.4,-2.8,2.9,2.7,晴一時薄曇,1
2019/1/9,7.5,-0.1,3.7,0.7,快晴,1
2019/1/10,6.3,-4.3,0.8,5,曇時々晴,1
2019/1/11,11.3,0.3,6.6,0.3,晴,1
2019/1/12,8.4,-1.2,4,10,曇,1
2019/1/13,10.9,0.7,5.6,0,晴時々曇,1
2019/1/14,10.5,-2.6,3.3,0,晴,1
2019/1/15,8.3,-2.9,2.2,4.7,晴時々曇,1
2019/1/16,11.3,-0.7,5.5,6.7,晴後薄曇,1
2019/1/17,13.3,-0.8,6.3,0.3,晴,1
2019/1/18,9.6,1.1,4.8,0,快晴,1
2019/1/19,12.5,0.8,5.6,2.3,晴,1
2019/1/20,12.8,-1.6,5.7,4.3,曇後晴,1
2019/1/21,10.3,-0.1,4.4,0.3,快晴,1
2019/1/22,10.2,-2.3,3.6,4,晴一時曇,1
2019/1/23,11.1,-3.5,3.9,0,快晴,1
2019/1/24,9.6,1.9,5,0,快晴,1
2019/1/25,10.5,0.3,5.1,7,晴後曇,1
2019/1/26,10.6,0.5,3.7,4,晴,1
2019/1/27,9,-0.4,3.8,0,快晴,1
2019/1/28,10.5,-1.9,4.1,3.3,曇後晴,1
2019/1/29,9.3,0.5,4.9,1,晴,1
2019/1/30,10.6,-2.6,3.8,2.7,晴,1
2019/1/31,15.7,-1.4,4.9,10,曇一時晴後時々雨,0
2019/2/1,7.1,-0.2,3.3,0,晴,1
2019/2/2,15.4,-2.4,6.3,,晴,1
2019/2/3,13.8,-0.9,6.6,,晴後時々曇,1
2019/2/4,18.1,3.5,9.7,,晴一時雨,0
2019/2/5,10.9,3.9,6.1,,曇時々晴,1
2019/2/6,9.3,2.7,5.4,,みぞれ時々雨一時晴後曇,0
2019/2/7,14.7,-0.6,7.5,,晴後一時曇,1
2019/2/8,8.6,1.3,4.7,,曇時々晴,1
2019/2/9,2.3,-0.3,0.8,,雪時々曇,0
2019/2/10,7.5,-0.2,2.9,,晴後一時曇,1
2019/2/11,4,-1.1,1.6,,曇一時晴,1
2019/2/12,10.8,-1.9,5,,晴,1
2019/2/13,11.4,-0.9,4.2,,晴一時曇,1
2019/2/14,8.5,0.2,3.5,,晴,1
2019/2/15,7.2,-3.1,2,,曇時々晴,1
2019/2/16,14.9,-1.9,5.2,,晴,1
2019/2/17,11.2,1.7,5.5,,晴,1
2019/2/18,15.5,-1.3,7.6,,晴,1
2019/2/19,11.3,4.5,7.8,,曇時々雨,0
2019/2/20,20.1,1.7,10.2,,晴一時霧後曇時々雨,0
2019/2/21,14.3,5.8,9.2,,晴,1
2019/2/22,14.6,1,8,,晴時々曇,1
2019/2/23,13.9,4.3,7.9,,晴時々曇,1
2019/2/24,14.7,0.4,7.2,,晴,1
2019/2/25,18.6,3,10.1,,曇時々晴,1
2019/2/26,14.7,5.8,10.1,,曇時々晴一時雨,0
2019/2/27,9.7,2.1,6.4,,曇一時晴,1
2019/2/28,7.8,5.5,6.6,,雨一時みぞれ,0
2019/3/1,14.7,6.6,9.4,,曇時々晴,1
2019/3/2,15.4,3.7,9.2,,晴,1
2019/3/3,7.2,4.4,5.8,,雨時々曇,0
2019/3/4,10.3,5.8,7.6,,雨,0
2019/3/5,16.9,3.4,9.8,,晴,1
2019/3/6,14.2,7.5,10.3,,曇,1
2019/3/7,11.5,5.2,8.7,,雨後時々曇,0
2019/3/8,11.1,3,6.6,,晴,1
2019/3/9,16,-1,7.7,,晴,1
2019/3/10,16.4,5.2,10.8,,曇時々晴,1
2019/3/11,17.7,8.3,11.2,,雨時々晴後曇,0
2019/3/12,18.2,7.3,12.3,,晴,1
2019/3/13,17.9,4.1,9.5,,晴,1
2019/3/14,13.3,1.3,7.1,,晴,1
2019/3/15,15,1.8,8.5,,晴後一時曇,1
2019/3/16,14.2,4.5,8.4,,晴時々曇後雨,0
2019/3/17,13.1,1,7.3,,晴後一時曇,1
2019/3/18,15.4,3.7,9,,晴,1
2019/3/19,18.2,6.3,11.9,,曇時々晴,1
2019/3/20,22,6.4,14.1,,晴,1
2019/3/21,23.2,10.4,15.5,,雨時々曇後晴,0
2019/3/22,21,7.3,13.9,,晴時々曇,1
2019/3/23,10.2,2.3,6.7,,曇一時晴後一時雨,0
2019/3/24,13.2,-0.7,6.6,,晴,1
2019/3/25,15.8,1.1,9,,晴時々曇,1
2019/3/26,17.1,6,11.4,,晴時々曇,1
2019/3/27,21.9,6.6,14.2,,晴後一時曇,1
2019/3/28,17.9,6.2,11.9,,晴,1
2019/3/29,11.8,5.1,7.6,,曇後時々晴,1
2019/3/30,9.3,5.4,7.2,,曇,1
2019/3/31,18.2,6.6,10.1,,曇一時雨後晴,0
2019/4/1,15.3,3.2,8.5,,晴後時々曇,1
2019/4/2,14.5,2.4,6.9,,晴,1
2019/4/3,12.6,1.6,6.9,,晴,1
2019/4/4,18.7,0.5,10.3,,晴,1
2019/4/5,24.4,4.9,15.5,,晴,1
2019/4/6,21.7,10.1,15.6,,晴,1
2019/4/7,21.8,7.3,14.5,,晴一時曇後一時雨,0
2019/4/8,12.6,5.4,9.6,,曇時々雨,0
2019/4/9,16.4,5.4,10,,晴,1
2019/4/10,7.5,1,3.7,,雨時々みぞれ,0
2019/4/11,16,3.6,9.6,,晴,1
2019/4/12,14,4.4,9.1,,曇後一時晴,1
2019/4/13,18,4.2,11.8,,晴,1
2019/4/14,19,8.1,13.6,,曇一時晴,1
2019/4/15,21.8,8.9,15.4,,晴一時曇,1
2019/4/16,23.8,8.7,15.5,,晴,1
2019/4/17,20.1,9.2,14.8,,曇一時晴,1
2019/4/18,24.5,10.2,17.1,,×,1
2019/4/19,25.1,11.3,17.5,,晴時々曇,1
2019/4/20,21.1,10.2,14.9,,晴,1
2019/4/21,22.7,9.8,16.6,,曇時々晴,1
2019/4/22,28,14.2,19.5,,晴時々曇,1
2019/4/23,25.5,15.6,19.5,,晴時々曇,1
2019/4/24,19.7,15.4,17.8,,雨時々曇,0
2019/4/25,26.8,16.5,21.3,,曇一時雨後晴,0
2019/4/26,20.9,9.4,12.4,,雨後時々曇,0
2019/4/27,16.8,7.5,10.9,,曇一時雨,0
2019/4/28,19.8,6.3,12.9,,晴,1
2019/4/29,21,9.6,15,,曇時々晴,1
2019/4/30,16.6,12.4,14.4,,雨,0
2019/5/1,24,14.1,18,,曇時々雨,0
2019/5/2,24,13.7,18.6,,晴,1
2019/5/3,28.2,10.8,19,,晴後一時曇,1
2019/5/4,25.6,12.1,18,,晴後曇一時雨、雷を伴う,0
2019/5/5,26.6,9.5,18.7,,晴,1
2019/5/6,24.5,13.4,17.9,,曇時々雨一時晴,0
2019/5/7,19.8,9.6,14.7,,曇時々晴,1
2019/5/8,24.6,6.2,16.3,,晴,1
2019/5/9,24,12.2,18,,曇時々晴,1
2019/5/10,29.1,13.3,21.3,,晴,1
2019/5/11,29.2,14.3,21.4,,晴一時曇,1
2019/5/12,23,14,17.7,,晴時々曇,1
2019/5/13,25.4,12.9,18.4,,晴時々曇,1
2019/5/14,20.9,16.4,18.1,,曇時々雨,0
2019/5/15,26.1,15.1,19.8,,晴時々曇,1
2019/5/16,26.5,14.2,20.4,,曇後晴,1
2019/5/17,27.6,16.2,21,,晴,1
2019/5/18,27,14.2,20.6,,曇時々晴,1
2019/5/19,27.6,17,21.1,,晴一時曇,1
2019/5/20,26.3,14.7,19.9,,曇時々雨一時晴,0
2019/5/21,21.6,17.2,19.1,,大雨後時々曇,0
2019/5/22,25.4,14.8,19.5,,曇一時晴,1
2019/5/23,28.5,15.2,21.5,,晴,1
2019/5/24,31.8,14.9,23.3,,晴,1
2019/5/25,34,16,25.1,,晴,1
2019/5/26,35,17.5,26.4,,晴後時々曇,1
2019/5/27,36.2,18.3,27.1,,晴,1
2019/5/28,28.6,21.7,24.6,,曇時々雨,0
2019/5/29,28.7,18.4,21.6,,曇後一時晴,1
2019/5/30,28.2,13.9,21.2,,晴,1
2019/5/31,25.3,17.6,21,,曇後時々雨,0
2019/6/1,27.8,17.4,22.4,,晴時々曇,1
2019/6/2,25.1,19.6,22.4,,曇,1
2019/6/3,29.3,19.3,23.6,,晴時々曇,1
2019/6/4,29.9,18,23.6,,晴時々曇,1
2019/6/5,27.9,20.1,23.3,,曇後一時晴,1
2019/6/6,34.2,19,26.6,,晴一時曇,1
2019/6/7,23,18.4,20.3,,大雨時々曇、雷を伴う,0
2019/6/8,27.5,18.7,21.6,,曇後時々雨,0
2019/6/9,20.1,15.7,17.4,,雨時々曇,0
2019/6/10,18.1,15.3,16.4,,大雨,0
2019/6/11,24.3,15.3,18.8,,曇後一時晴,1
2019/6/12,23.6,15.6,18.9,,曇,1
2019/6/13,29.1,15.3,21.9,,晴,1
2019/6/14,29.3,18.5,22.9,,曇時々晴,1
2019/6/15,20.4,15.6,16.9,,雨,0
2019/6/16,31.9,16.7,23,,晴一時雨,0
2019/6/17,27.9,18.9,23,,晴時々曇,1
2019/6/18,29.1,18,23.2,,曇時々晴,1
2019/6/19,29.8,20.1,24.3,,晴時々曇,1
2019/6/20,29.4,20.8,24.5,,晴時々曇,1
2019/6/21,28.1,20.4,23.4,,曇時々雨、雷を伴う,0
2019/6/22,25.6,19.8,22,,雨時々曇,0
2019/6/23,24.7,18.8,21.3,,曇後時々雨,0
2019/6/24,22.1,17.7,19.2,,雨後時々曇、雷を伴う,0
2019/6/25,29.3,16.8,22.8,,晴時々曇,1
2019/6/26,31.7,21.1,25.4,,晴,1
2019/6/27,28.6,21.1,25.1,,曇時々晴後雨,0
2019/6/28,30.2,20.4,24.8,,雨時々曇,0
2019/6/29,21.9,19,20.4,,曇時々雨,0
2019/6/30,25.9,20.2,22.6,,雨後曇,0
2019/7/1,25.9,21.8,23.5,,曇時々雨,0
2019/7/2,29.4,22,25.3,,曇時々雨,0
2019/7/3,27.8,22.6,25.1,,曇,1
2019/7/4,23.6,21,22,,大雨後時々曇,0
2019/7/5,24.1,19.6,21.9,,曇一時雨,0
2019/7/6,26.6,19.5,22.7,,曇時々雨,0
2019/7/7,23.8,18.9,20.8,,雨時々曇,0
2019/7/8,24.9,18.7,21.3,,曇,1
2019/7/9,21.4,17.8,19.5,,曇一時雨,0
2019/7/10,23.9,18,20.8,,曇,1
2019/7/11,22.2,17.7,19.5,,雨時々曇,0
2019/7/12,23.2,17.9,20.3,,雨時々曇,0
2019/7/13,28.4,19,23.7,,曇一時晴後一時雨,0
2019/7/14,24.1,20.6,22.1,,雨後時々曇,0
2019/7/15,25.7,19.6,22.1,,曇時々雨,0
2019/7/16,24.8,19.2,21.7,,曇時々雨,0
2019/7/17,30.9,20.4,25.4,,晴時々曇,1
2019/7/18,27.9,22.1,24.6,,曇後時々雨,0
2019/7/19,33,23.3,26.6,,雨時々曇一時晴,0
2019/7/20,30.3,24.2,27.1,,曇後時々雨,0
2019/7/21,27,21.6,24.6,,曇時々雨,0
2019/7/22,24.1,21.3,22.6,,雨時々曇,0
2019/7/23,30.8,22.6,26,,曇時々霧一時雨後時々晴,0
2019/7/24,32.8,23.5,26.6,,雨後曇時々晴、雷を伴う,0
2019/7/25,33.8,24.5,28.2,,曇後晴一時雨、雷を伴う,0
2019/7/26,34.9,24.8,29,,晴後一時曇,1
2019/7/27,34,24,28.4,,晴時々曇,1
2019/7/28,35.5,25,29.3,,曇時々晴一時雨,0
2019/7/29,36.2,25.8,29.4,,晴後曇一時雨、雷を伴う,0
2019/7/30,36.8,25.3,30.4,,晴,1
2019/7/31,36.6,26.5,31.3,,晴後時々曇,1
2019/8/1,37.7,27.1,31.2,,晴後一時雨、雷を伴う,0
2019/8/2,37.4,27.2,31.4,,晴,1
2019/8/3,37.3,26.9,31.2,,晴,1
2019/8/4,36.5,26.2,30.8,,晴一時曇,1
2019/8/5,36.5,26,30.7,,晴,1
2019/8/6,38.4,27,31.3,,晴後時々曇,1
2019/8/7,37.6,26.3,31.1,,晴後時々曇,1
2019/8/8,37.6,26.9,31.2,,晴時々曇,1
2019/8/9,38,25.8,31.2,,晴後一時雨一時曇、雷を伴う,0
2019/8/10,37.1,26.6,30.8,,晴後一時曇、雷を伴う,1
2019/8/11,34.2,26,29.2,,曇一時雨後晴,0
2019/8/12,34.7,25.5,29.5,,曇時々晴一時雨,0
2019/8/13,35.7,26.1,30.1,,曇後晴時々雨,0
2019/8/14,31,25.8,27.7,,大雨時々曇、雷を伴う,0
2019/8/15,32.8,25.3,28.7,,曇後雨一時晴,0
2019/8/16,32.9,26.8,28.9,,雨後曇時々晴,0
2019/8/17,36.8,25.3,30.8,,晴,1
2019/8/18,35.2,26.9,30.1,,曇時々晴後一時雨,0
2019/8/19,32.7,24.5,28.1,,曇時々雨一時晴,0
2019/8/20,27.7,23.3,24.8,,雨後曇一時晴、雷を伴う,0
2019/8/21,32,23.2,26.3,,曇一時晴後時々雨、雷を伴う,0
2019/8/22,28.9,23,25.4,,曇時々雨,0
2019/8/23,28.4,23.9,25.8,,雨時々曇,0
2019/8/24,33.2,22.8,27.4,,晴時々曇,1
2019/8/25,32.1,21.3,26.6,,晴,1
2019/8/26,31,22.5,25.7,,晴時々曇一時雨,0
2019/8/27,29.2,22.3,25.3,,曇一時雨,0
2019/8/28,26,22.8,24.1,,雨時々曇,0
2019/8/29,34.2,23.4,28.2,,曇時々晴,1
2019/8/30,26.6,24.5,25.5,,雨時々曇,0
2019/8/31,32.5,24.2,27.4,,曇時々晴,1
2019/9/1,31.6,24.7,27.3,,曇時々雨,0
2019/9/2,31.2,23.1,27.3,,晴後曇一時雨,0
2019/9/3,26.3,21.6,24.7,,曇時々雨,0
2019/9/4,26.1,21.7,23.3,,曇時々雨,0
2019/9/5,28.5,22.4,25.2,,曇,1
2019/9/6,34.6,22.8,28.4,,晴,1
2019/9/7,34.7,25.4,29.1,,晴一時曇,1
2019/9/8,32.7,25.2,28.5,,曇後晴一時雨、雷を伴う,0
2019/9/9,35.8,24.7,29.7,,曇一時雨,0
2019/9/10,36.1,24.7,29.7,,晴,1
2019/9/11,32.5,24,27,,曇後晴一時雨、雷を伴う,0
2019/9/12,31.1,22.6,26.1,,晴後曇,1
2019/9/13,23.2,20.4,21.9,,曇,1
2019/9/14,24.6,17.5,21.4,,曇後一時雨一時晴,0
2019/9/15,30.8,20.3,25.7,,晴,1
2019/9/16,29,21.9,25.3,,雨後曇時々晴,0
2019/9/17,32.6,23,26.6,,晴,1
2019/9/18,26.1,18.8,22.2,,雨時々曇,0
2019/9/19,27.7,17.3,22.3,,晴時々曇,1
2019/9/20,27.4,19.3,22.6,,晴時々曇,1
2019/9/21,23.4,19.4,21.4,,曇時々雨,0
2019/9/22,27.4,17.7,22.4,,晴後曇一時雨,0
2019/9/23,28.3,20.3,23.1,,曇時々雨一時晴,0
2019/9/24,29.5,20.6,24.5,,曇後一時雨一時晴,0
2019/9/25,30,18.7,24.4,,晴,1
2019/9/26,27.1,18.4,21.9,,晴時々曇,1
2019/9/27,29.5,17.3,23,,晴,1
2019/9/28,26.8,19.7,23.1,,曇一時晴,1
2019/9/29,29.7,20.9,24.6,,晴時々曇,1
2019/9/30,31.1,20.7,25,,晴,1
2019/10/1,30.6,19.8,24.3,,晴,1
2019/10/2,30.5,19.6,24.4,,晴後一時曇,1
2019/10/3,28.9,19.4,23.5,,曇後時々雨,0
2019/10/4,28.6,21.8,24.6,,雨後曇時々晴,0
2019/10/5,30.9,22,26.1,,晴後一時曇,1
2019/10/6,22.7,19,20.6,,曇時々雨,0
2019/10/7,24.5,17.3,20.4,,曇時々晴,1
2019/10/8,24.2,17.5,20.3,,曇一時雨,0
2019/10/9,25.7,14.8,19.7,,晴,1
2019/10/10,25.2,13,19.4,,晴,1
2019/10/11,24,16.8,20.2,,曇後時々雨,0
2019/10/12,24.7,18.9,22.6,,大雨,0
2019/10/13,27.6,17,23.1,,晴,1
2019/10/14,19.1,15.6,17.4,,曇時々雨,0
2019/10/15,22.7,14.5,17.8,,曇時々晴,1
2019/10/16,19.3,13,15.9,,曇,1
2019/10/17,20.9,11.2,16,,曇時々晴一時雨,0
2019/10/18,18.4,14.5,16.2,,曇時々雨,0
2019/10/19,21.8,14.5,18.1,,曇時々雨,0
2019/10/20,25.5,16.9,20.7,,曇一時晴,1
2019/10/21,20.9,16,18.6,,曇後一時雨,0
2019/10/22,17.4,14.6,16,,雨時々曇,0
2019/10/23,24.3,11.8,18.1,,晴後一時曇,1
2019/10/24,19.2,14.9,17.4,,曇後一時雨,0
2019/10/25,17.5,14.2,15.1,,大雨,0
2019/10/26,25.9,16.9,20.4,,曇時々晴,1
2019/10/27,23.1,14.8,17.6,,曇後晴一時雨,0
2019/10/28,21.4,12.8,16.5,,晴時々曇,1
2019/10/29,15,11.1,14,,雨,0
2019/10/30,23.1,9,15.3,,晴後曇、霧を伴う,1
2019/10/31,21,13.6,16.3,,曇後時々晴,1
2019/11/1,26,10.9,17.3,,晴,1
2019/11/2,19.2,8.8,14.3,,晴一時曇,1
2019/11/3,19.1,10.3,14.8,,曇後一時晴,1
2019/11/4,20.5,10.4,14.5,,晴,1
2019/11/5,20.2,8,13.3,,晴,1
2019/11/6,22.5,7.2,14,,晴,1
2019/11/7,18.5,8.1,13.9,,曇時々晴,1
2019/11/8,19.1,11.6,14.8,,晴後時々曇,1
2019/11/9,17.6,8.1,12.4,,晴,1
2019/11/10,19.2,7.3,13.4,,晴,1
2019/11/11,15.9,9.5,12.3,,曇時々雨,0
2019/11/12,21.2,9.2,14.9,,晴,1
2019/11/13,14.8,8.3,11.9,,曇時々晴一時雨,0
2019/11/14,21.9,8.6,13.8,,晴,1
2019/11/15,16.3,7.9,11.5,,晴,1
2019/11/16,19,4.5,11.3,,晴,1
2019/11/17,18.8,7.5,12.7,,晴,1
2019/11/18,18,7.5,12.3,,晴時々曇,1
2019/11/19,22.4,10.7,14.7,,晴,1
2019/11/20,14.1,7.2,10.2,,晴,1
2019/11/21,16.1,4.5,9.4,,晴,1
2019/11/22,8.7,4.2,6.9,,雨時々曇一時晴,0
2019/11/23,13.1,8.6,11.5,,雨,0
2019/11/24,21.8,12.7,16.4,,曇時々雨,0
2019/11/25,22.7,11.4,16.2,,曇後一時雨時々霧一時晴,0
2019/11/26,11.5,7.4,8.7,,曇一時雨,0
2019/11/27,12.6,8.2,9.9,,曇,1
2019/11/28,11.5,3.8,8.9,,曇後一時雨,0
2019/11/29,11.3,0.4,5.3,,晴,1
2019/11/30,11.9,1.8,6.4,,晴,1
2019/12/1,11.2,1.4,5.9,,晴後時々曇,1
2019/12/2,13.4,4.3,8.7,,曇後雨時々晴,0
2019/12/3,17.1,6.7,11.7,,晴,1
2019/12/4,17,3.5,9.8,,晴,1
2019/12/5,15,2.9,8.6,,晴,1
2019/12/6,10.7,2.3,6.7,,曇時々晴,1
2019/12/7,6.3,2.8,4.8,,曇,1
2019/12/8,13.6,1.7,7.9,,晴,1
2019/12/9,7.7,0,4.7,,曇,1
2019/12/10,13.4,6.6,10.4,,曇,1
2019/12/11,15.1,5.6,10.6,,曇時々晴,1
2019/12/12,19.5,4.6,10.1,,晴,1
2019/12/13,9.1,3.6,6,,曇後一時晴,1
2019/12/14,13,1,7.2,,晴一時曇,1
2019/12/15,12.8,3.1,7.5,,晴時々曇,1
2019/12/16,11.8,-0.1,5.5,,晴,1
2019/12/17,9.3,4.9,6.6,,曇時々雨,0
2019/12/18,18.1,4,9.5,,晴時々曇、霧を伴う,1
2019/12/19,9.8,6.6,8.2,,曇,1
2019/12/20,15.6,4.8,10,,晴,1
2019/12/21,7.8,5.1,7.1,,曇一時雨,0
2019/12/22,9.1,2.7,5.8,,曇後一時雨,0
2019/12/23,12.3,3.1,6.7,,晴,1
2019/12/24,11.5,3.5,7.5,,晴,1
2019/12/25,10,-1,4.6,,晴後一時曇,1
2019/12/26,8.5,2.8,6,,曇後時々雨,0
2019/12/27,15,3.5,7.6,,晴一時雨,0
2019/12/28,10.4,3.1,5.8,,晴,1
2019/12/29,10.9,-0.3,5.2,,晴,1
2019/12/30,8.8,3.7,5.7,,曇時々雨,0
2019/12/31,17.8,0.3,5.3,,晴一時曇、霧を伴う,1
2020/1/1,10.7,1.7,5.6,,晴,1
